type,format,identifier,references
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/443919.wav?1652978078,https://www.inaturalist.org/photos/443919
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/434529.wav?1652299894,https://www.inaturalist.org/photos/434529
Sound,audio/mpeg,https://static.inaturalist.org/sounds/436876.mp3?1652467848,https://www.inaturalist.org/photos/436876
Sound,audio/mpeg,https://static.inaturalist.org/sounds/436874.mp3?1652467800,https://www.inaturalist.org/photos/436874
Sound,audio/mp4,https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=ff0a6e12-9b35-4fc1-82a4-a19520531c7c,
Sound,audio/mp4,https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=b097e1ab-2eaf-4e6f-b997-3c793f16f12f,
Sound,audio/mp4,https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=26a81025-ce91-4a88-b454-3b674ee80970,
Sound,audio/mp4,https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=3b331617-7320-4d8a-8620-1405710c0898,
Sound,audio/mp4,https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=07e88a95-5623-44bb-8139-af0f0a5059e1,
Sound,audio/mp4,https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=26c20e43-614f-4da0-978a-251cb84cc0a1,
Sound,audio/mp4,https://static.inaturalist.org/sounds/422032.m4a?1651535466,https://www.inaturalist.org/photos/422032
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/429619.wav?1651984838,https://www.inaturalist.org/photos/429619
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/194325534/original.jpg,https://www.inaturalist.org/photos/194325534
Sound,audio/mp4,https://static.inaturalist.org/sounds/423359.m4a?1651586597,https://www.inaturalist.org/photos/423359
Sound,audio/mp4,https://static.inaturalist.org/sounds/432526.m4a?1652155523,https://www.inaturalist.org/photos/432526
Sound,audio/mp4,https://static.inaturalist.org/sounds/428435.m4a?1651919728,https://www.inaturalist.org/photos/428435
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/195576614/original.jpg,https://www.inaturalist.org/photos/195576614
Sound,audio/mp4,https://static.inaturalist.org/sounds/434173.m4a?1652278665,https://www.inaturalist.org/photos/434173
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/429557.wav?1651982318,https://www.inaturalist.org/photos/429557
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/195880726/original.jpeg,https://www.inaturalist.org/photos/195880726
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/195880744/original.jpeg,https://www.inaturalist.org/photos/195880744
Sound,audio/mpeg,https://static.inaturalist.org/sounds/429869.mp3?1652004588,https://www.inaturalist.org/photos/429869
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/195880603/original.jpeg,https://www.inaturalist.org/photos/195880603
Sound,audio/mpeg,https://static.inaturalist.org/sounds/429868.mp3?1652004585,https://www.inaturalist.org/photos/429868
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/195880639/original.jpeg,https://www.inaturalist.org/photos/195880639
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/195880671/original.jpeg,https://www.inaturalist.org/photos/195880671
Sound,audio/mpeg,https://static.inaturalist.org/sounds/429870.mp3?1652004592,https://www.inaturalist.org/photos/429870
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/195880693/original.jpeg,https://www.inaturalist.org/photos/195880693
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/195880622/original.jpeg,https://www.inaturalist.org/photos/195880622
Sound,audio/mp4,https://static.inaturalist.org/sounds/416898.m4a?1651422663,https://www.inaturalist.org/photos/416898
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/421111.wav?1651517893,https://www.inaturalist.org/photos/421111
Sound,audio/mpeg,https://static.inaturalist.org/sounds/431983.mp3?1652119719,https://www.inaturalist.org/photos/431983
Sound,audio/mp4,https://static.inaturalist.org/sounds/417632.m4a?1651434191,https://www.inaturalist.org/photos/417632
Sound,audio/mp4,https://static.inaturalist.org/sounds/417620.m4a?1651434093,https://www.inaturalist.org/photos/417620
Sound,audio/mp4,https://static.inaturalist.org/sounds/417616.m4a?1651434017,https://www.inaturalist.org/photos/417616
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/434027.wav?1652271805,https://www.inaturalist.org/photos/434027
Sound,audio/mp4,https://static.inaturalist.org/sounds/417471.m4a?1651431092,https://www.inaturalist.org/photos/417471
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/432615.wav?1652162660,https://www.inaturalist.org/photos/432615
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/196457577/original.jpg,https://www.inaturalist.org/photos/196457577
Sound,audio/mp4,https://static.inaturalist.org/sounds/430473.m4a?1652029046,https://www.inaturalist.org/photos/430473
Sound,audio/mp4,https://static.inaturalist.org/sounds/419972.m4a?1651495528,https://www.inaturalist.org/photos/419972
Sound,audio/mp4,https://static.inaturalist.org/sounds/426051.m4a?1651759161,https://www.inaturalist.org/photos/426051
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/420766.wav?1651511444,https://www.inaturalist.org/photos/420766
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/193686325/original.jpeg,https://www.inaturalist.org/photos/193686325
