type,format,identifier,references
Sound,audio/mp4,https://static.inaturalist.org/sounds/423061.m4a?1651575452,https://www.inaturalist.org/photos/423061
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/194350147/original.jpeg,https://www.inaturalist.org/photos/194350147
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/194350699/original.jpeg,https://www.inaturalist.org/photos/194350699
Sound,audio/mp4,https://static.inaturalist.org/sounds/410656.m4a?1651278432,https://www.inaturalist.org/photos/410656
Sound,audio/mpeg,https://static.inaturalist.org/sounds/433932.mp3?1652262666,https://www.inaturalist.org/photos/433932
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/435191.wav?1652353786,https://www.inaturalist.org/photos/435191
Sound,audio/mp4,https://static.inaturalist.org/sounds/425610.m4a?1651714714,https://www.inaturalist.org/photos/425610
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/193088358/original.jpeg,https://www.inaturalist.org/photos/193088358
StillImage,image/png,https://inaturalist-open-data.s3.amazonaws.com/photos/193088342/original.png,https://www.inaturalist.org/photos/193088342
Sound,audio/mp4,https://static.inaturalist.org/sounds/417473.m4a?1651431196,https://www.inaturalist.org/photos/417473
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/193088895/original.jpeg,https://www.inaturalist.org/photos/193088895
StillImage,image/png,https://inaturalist-open-data.s3.amazonaws.com/photos/193085886/original.png,https://www.inaturalist.org/photos/193085886
Sound,audio/mpeg,https://static.inaturalist.org/sounds/430245.mp3?1652022801,https://www.inaturalist.org/photos/430245
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/427981.wav?1651885834,https://www.inaturalist.org/photos/427981
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/434925.wav?1652322616,https://www.inaturalist.org/photos/434925
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/423848.wav?1651609072,https://www.inaturalist.org/photos/423848
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/420191.wav?1651499800,https://www.inaturalist.org/photos/420191
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/193632880/original.jpg,https://www.inaturalist.org/photos/193632880
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/193632760/original.jpg,https://www.inaturalist.org/photos/193632760
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/193632673/original.jpg,https://www.inaturalist.org/photos/193632673
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/434126.wav?1652277374,https://www.inaturalist.org/photos/434126
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/427982.wav?1651885834,https://www.inaturalist.org/photos/427982
Sound,audio/mpeg,https://static.inaturalist.org/sounds/432623.mp3?1652164560,https://www.inaturalist.org/photos/432623
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/196462655/original.jpeg,https://www.inaturalist.org/photos/196462655
Sound,audio/mp4,https://static.inaturalist.org/sounds/419798.m4a?1651491601,https://www.inaturalist.org/photos/419798
Sound,audio/mp4,https://static.inaturalist.org/sounds/419577.m4a?1651484957,https://www.inaturalist.org/photos/419577
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/193534754/original.jpg,https://www.inaturalist.org/photos/193534754
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/193535399/original.jpg,https://www.inaturalist.org/photos/193535399
StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/193535400/original.jpg,https://www.inaturalist.org/photos/193535400
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/433662.wav?1652233740,https://www.inaturalist.org/photos/433662
Sound,audio/vnd.wave,https://static.inaturalist.org/sounds/428068.wav?1651888892,https://www.inaturalist.org/photos/428068
